Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,1171.730,2.095
,,1173.157,2.095
,,1174.585,2.095
,,1176.012,2.095
,,1177.439,2.095
,,1178.866,2.095
,,1180.293,2.095
,,1181.721,2.095
,,1183.148,2.095
,,1184.575,2.095
,,1186.002,2.095
,,1187.430,2.095
,,1188.857,2.095
,,1190.284,2.095
,,1191.711,2.095
,,1193.138,2.095
,,1194.566,2.095
,,1195.993,2.095
,,1197.420,2.095
,,1198.847,2.095
,,1200.274,2.095
,,1201.702,2.095
,,1203.129,2.095
,,1204.556,2.095
,,1205.983,2.095
,,1207.410,2.095
,,1208.838,2.095
,,1210.265,2.095
,,1211.692,2.095
,,1213.119,2.095
,,1214.546,2.095
,,1215.974,2.095
,,1217.401,2.095
,,1218.828,2.095
,,1220.255,2.095
,,1221.682,2.095
,,1223.109,2.095
,,1224.537,2.095
,,1225.964,2.095
,,1227.391,2.095
,,1228.818,2.095
,,1230.245,2.095
,,1231.673,2.095
,,1233.100,2.095
,,1234.527,2.095
,,1235.954,2.095
,,1237.381,2.095
,,1238.809,2.095
,,1240.236,2.095
,,1241.663,2.095
,,1243.090,2.095
,,1244.517,2.095
,,1245.945,2.095
,,1247.372,2.095
,,1248.799,2.095
,,1250.226,2.095
,,1251.653,2.095
,,1253.081,2.095
,,1254.508,2.095
,,1255.935,2.095
,,1257.362,2.095
,,1258.789,2.095
,,1260.217,2.095
,,1261.644,2.095
,,1263.071,2.095
,,1264.498,2.095
,,1265.925,2.095
,,1267.353,2.095
,,1268.780,2.095
,,1270.207,2.095
,,1271.634,2.095
,,1273.061,2.095
,,1274.489,2.095
,,1275.916,2.095
,,1277.343,2.095
,,1278.770,2.095
,,1280.197,2.095
,,1281.625,2.095
,,1283.052,2.095
,,1284.479,2.095
,,1285.906,2.095
,,1287.333,2.095
,,1288.761,2.095
,,1290.188,2.095
,,1291.615,2.095
,,1293.042,2.095
,,1294.469,2.095
,,1295.897,2.095
,,1297.324,2.095
,,1298.751,2.095
,,1300.178,2.095
,,1301.605,2.095
,,1303.033,2.095
,,1304.460,2.095
,,1305.887,2.095
,,1307.314,2.095
,,1308.741,2.095
,,1310.169,2.095
,,1311.596,2.095
,,1313.023,2.095
,,1314.450,2.095
,,1315.877,2.095
,,1317.305,2.095
,,1318.732,2.095
,,1320.159,2.095
,,1321.586,2.095
,,1323.013,2.095
,,1324.441,2.095
,,1325.868,2.095
,,1327.295,2.095
,,1328.722,2.095
,,1330.149,2.095
,,1331.577,2.095
,,1333.004,2.095
,,1334.431,2.095
,,1335.858,2.095
,,1337.285,2.095
,,1338.713,2.095
,,1340.140,2.095
,,1341.567,2.095
,,1342.994,2.095
,,1344.421,2.095
,,1345.849,2.095
,,1347.276,2.095
,,1348.703,2.095
,,1350.130,2.095
,,1351.557,2.095
,,1352.985,2.095
,,1354.412,2.095
,,1355.839,2.095
,,1357.266,2.095
,,1358.693,2.095
,,1360.121,2.095
,,1361.548,2.095
,,1362.975,2.095
,,1364.402,2.095
,,1365.829,2.095
,,1367.257,2.095
,,1368.684,2.095
,,1370.111,2.095
,,1371.538,2.095
,,1372.965,2.095
,,1374.393,2.095
,,1375.820,2.095
,,1377.247,2.095
,,1378.674,2.095
,,1380.101,2.095
,,1381.529,2.095
,,1382.956,2.095
,,1384.383,2.095
,,1385.810,2.095
,,1387.237,2.095
,,1388.665,2.095
,,1390.092,2.095
,,1391.519,2.095
,,1392.946,2.095
,,1394.373,2.095
,,1395.801,2.095
,,1397.228,2.095
,,1398.655,2.095
,,1400.082,2.095
,,1401.509,2.095
,,1402.937,2.095
,,1404.364,2.095
,,1405.791,2.095
,,1407.218,2.095
,,1408.645,2.095
,,1410.073,2.095
,,1411.500,2.095
,,1412.927,2.095
,,1414.354,2.095
,,1415.781,2.095
,,1417.208,2.095
,,1418.636,2.095
,,1420.063,2.095
,,1421.490,2.095
,,1422.917,2.095
,,1424.344,2.095
,,1425.772,2.095
