Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,510.437,13.506
,,511.305,12.771
,,512.173,12.076
,,513.041,11.419
,,513.909,10.798
,,514.777,10.211
,,515.645,9.658
,,516.514,9.137
,,517.382,8.647
,,518.250,8.185
,,519.118,7.752
,,519.986,7.344
,,520.854,6.962
,,521.722,6.604
,,522.590,6.269
,,523.458,5.956
,,524.326,5.662
,,525.194,5.389
,,526.063,5.133
,,526.931,4.895
,,527.799,4.673
,,528.667,4.467
,,529.535,4.275
,,530.403,4.096
,,531.271,3.931
,,532.139,3.777
,,533.007,3.635
,,533.875,3.503
,,534.743,3.381
,,535.612,3.269
,,536.480,3.165
,,537.348,3.069
,,538.216,2.980
,,539.084,2.899
,,539.952,2.824
,,540.820,2.755
,,541.688,2.692
,,542.556,2.634
,,543.424,2.580
,,544.292,2.531
,,545.161,2.487
,,546.029,2.446
,,546.897,2.408
,,547.765,2.374
,,548.633,2.343
,,549.501,2.315
,,550.369,2.289
,,551.237,2.265
,,552.105,2.244
,,552.973,2.224
,,553.841,2.207
,,554.710,2.191
,,555.578,2.176
,,556.446,2.163
,,557.314,2.151
,,558.182,2.140
,,559.050,2.131
,,559.918,2.122
,,560.786,2.114
,,561.654,2.107
,,562.522,2.100
,,563.390,2.095
,,564.258,2.089
,,565.127,2.085
,,565.995,2.081
,,566.863,2.077
,,567.731,2.073
,,568.599,2.070
,,569.467,2.068
,,570.335,2.065
,,571.203,2.063
,,572.071,2.061
,,572.939,2.060
,,573.807,2.058
,,574.676,2.057
,,575.544,2.055
,,576.412,2.054
,,577.280,2.053
,,578.148,2.053
,,579.016,2.052
,,579.884,2.051
,,580.752,2.051
,,581.620,2.050
,,582.488,2.050
,,583.357,2.049
,,584.225,2.049
,,585.093,2.049
,,585.961,2.048
,,586.829,2.048
,,587.697,2.048
,,588.565,2.048
,,589.433,2.048
,,590.301,2.047
,,591.169,2.047
,,592.037,2.047
,,592.905,2.047
,,593.774,2.047
,,594.642,2.047
,,595.510,2.047
,,596.378,2.047
,,597.246,2.047
,,598.114,2.047
,,598.982,2.047
,,599.850,2.047
,,600.718,2.047
,,601.586,2.047
,,602.454,2.047
,,603.323,2.047
,,604.191,2.046
,,605.059,2.046
,,605.927,2.046
,,606.795,2.046
,,607.663,2.046
,,608.531,2.046
,,609.399,2.046
,,610.267,2.046
,,611.135,2.046
,,612.003,2.046
,,612.872,2.046
,,613.740,2.046
,,614.608,2.046
,,615.476,2.046
,,616.344,2.046
,,617.212,2.046
,,618.080,2.046
,,618.948,2.046
,,619.816,2.046
,,620.684,2.046
,,621.552,2.046
,,622.421,2.046
,,623.289,2.046
,,624.157,2.046
,,625.025,2.046
,,625.893,2.046
,,626.761,2.046
,,627.629,2.046
,,628.497,2.046
,,629.365,2.046
,,630.233,2.046
,,631.101,2.046
,,631.970,2.046
,,632.838,2.046
,,633.706,2.046
,,634.574,2.046
,,635.442,2.046
,,636.310,2.046
,,637.178,2.046
,,638.046,2.046
,,638.914,2.046
,,639.782,2.046
,,640.650,2.046
,,641.518,2.046
,,642.387,2.046
,,643.255,2.046
,,644.123,2.046
,,644.991,2.046
,,645.859,2.046
,,646.727,2.046
,,647.595,2.046
,,648.463,2.046
,,649.331,2.046
,,650.199,2.046
,,651.068,2.046
,,651.936,2.046
,,652.804,2.046
,,653.672,2.046
,,654.540,2.046
,,655.408,2.046
,,656.276,2.046
,,657.144,2.046
,,658.012,2.046
,,658.880,2.046
,,659.748,2.046
,,660.617,2.046
,,661.485,2.046
,,662.353,2.046
,,663.221,2.046
,,664.089,2.046
,,664.957,2.046
,,665.825,2.046
,,666.693,2.046
,,667.561,2.046
,,668.429,2.046
,,669.297,2.046
,,670.165,2.046
,,671.034,2.046
,,671.902,2.046
,,672.770,2.046
,,673.638,2.046
,,674.506,2.046
,,675.374,2.046
,,676.242,2.046
,,677.110,2.046
,,677.978,2.046
,,678.846,2.046
,,679.714,2.046
,,680.583,2.046
,,681.451,2.046
,,682.319,2.046
,,683.187,2.046
,,684.055,2.046
,,684.923,2.046
,,685.791,2.046
,,686.659,2.046
,,687.527,2.046
,,688.395,2.046
,,689.263,2.046
,,690.132,2.046
,,691.000,2.046
,,691.868,2.046
,,692.736,2.046
,,693.604,2.046
,,694.472,2.046
,,695.340,2.046
